__time,/effort_control_sim/data.0,/effort_control_sim/layout/data_offset,/joint_states_sim/header/stamp,/joint_states_sim/joint0/position,/joint_states_sim/joint0/velocity,/joint_states_sim/joint1/position,/joint_states_sim/joint1/velocity
1707430393.881271,,,55.388000000,0.000000000,-0.000000000,-0.000000000,0.000000000
1707430393.882966,,,55.390000000,0.000000000,-0.000000000,-0.000000000,0.000000000
1707430393.885339,,,55.392000000,0.000000000,-0.000000000,-0.000000000,0.000000000
1707430393.887533,,,55.394000000,0.000000000,-0.000000000,-0.000000000,0.000000000
1707430393.889226,,,55.396000000,0.000000000,-0.000000000,-0.000000000,0.000000000
1707430393.892045,,,55.398000000,0.000000000,-0.000000000,-0.000000000,0.000000000
1707430393.893760,,,55.400000000,0.000000000,-0.000000000,-0.000000000,0.000000000
1707430393.896189,,,55.402000000,0.000000000,-0.000000000,-0.000000000,0.000000000
1707430393.898446,,,55.404000000,0.000000000,-0.000000000,-0.000000000,0.000000000
1707430393.900141,,,55.406000000,0.000000000,-0.000000000,-0.000000000,0.000000000
1707430393.902422,,,55.408000000,0.000000000,-0.000000000,-0.000000000,0.000000000
1707430393.904727,,,55.410000000,0.000000000,-0.000000000,-0.000000000,0.000000000
1707430393.906447,,,55.412000000,0.000000000,-0.000000000,-0.000000000,0.000000000
1707430393.908636,,,55.414000000,0.000000000,-0.000000000,-0.000000000,0.000000000
1707430393.910897,,,55.416000000,0.000000000,-0.000000000,-0.000000000,0.000000000
1707430393.913153,,,55.418000000,0.000000000,-0.000000000,-0.000000000,0.000000000
1707430393.915407,,,55.420000000,0.000000000,-0.000000000,-0.000000000,0.000000000
1707430393.917142,,,55.422000000,0.000000000,-0.000000000,-0.000000000,0.000000000
1707430393.919366,,,55.424000000,0.000000000,-0.000000000,-0.000000000,0.000000000
1707430393.921636,,,55.426000000,0.000000000,-0.000000000,-0.000000000,0.000000000
1707430393.923343,,,55.428000000,0.000000000,-0.000000000,-0.000000000,0.000000000
1707430393.926153,,,55.430000000,0.000000000,-0.000000000,-0.000000000,0.000000000
1707430393.928422,,,55.432000000,0.000000000,-0.000000000,-0.000000000,0.000000000
1707430393.930263,,,55.434000000,0.000000000,-0.000000000,-0.000000000,0.000000000
1707430393.932552,,,55.436000000,0.000000000,-0.000000000,-0.000000000,0.000000000
1707430393.934211,,,55.438000000,0.000000000,-0.000000000,-0.000000000,0.000000000
1707430393.936515,,,55.440000000,0.000000000,-0.000000000,-0.000000000,0.000000000
1707430393.938693,,,55.442000000,0.000000000,-0.000000000,-0.000000000,0.000000000
1707430393.941008,,,55.444000000,0.000000000,-0.000000000,-0.000000000,0.000000000
1707430393.943305,,,55.446000000,0.000000000,-0.000000000,-0.000000000,0.000000000
1707430393.944990,,,55.448000000,0.000000000,-0.000000000,-0.000000000,0.000000000
1707430393.947242,,,55.450000000,0.000000000,-0.000000000,-0.000000000,0.000000000
1707430393.949506,,,55.452000000,0.000000000,-0.000000000,-0.000000000,0.000000000
