__time,/joint_states/header/stamp,/joint_states/joint0/effort,/joint_states/joint0/position,/joint_states/joint0/velocity,/joint_states/joint1/effort,/joint_states/joint1/position,/joint_states/joint1/velocity
1686597913.486519,1686597913.486169338,0.000000000,0.235645814,0.000000000,0.000000000,-9.415394313,0.000000000
1686597913.488306,1686597913.488160372,0.000000000,0.235645814,0.000000000,0.000000000,-9.415394313,0.000000000
1686597913.490129,1686597913.489934683,0.000000000,0.235645814,0.000000000,0.000000000,-9.415394313,0.000000000
1686597913.491947,1686597913.491706848,0.000000000,0.235645814,0.000000000,0.000000000,-9.415394313,0.000000000
1686597913.494379,1686597913.493678808,0.000000000,0.235645814,0.000000000,0.000000000,-9.415394313,0.000000000
1686597913.496215,1686597913.495673895,0.000000000,0.235645814,0.000000000,0.000000000,-9.415394313,0.000000000
1686597913.498033,1686597913.497677565,0.000000000,0.235645814,0.000000000,0.000000000,-9.415394313,0.000000000
1686597913.500371,1686597913.499669790,0.000000000,0.235645814,0.000000000,0.000000000,-9.415394313,0.000000000
1686597913.502161,1686597913.501677752,0.000000000,0.235645814,0.000000000,0.000000000,-9.415394313,0.000000000
1686597913.504317,1686597913.503710508,0.000000000,0.235645814,0.000000000,0.000000000,-9.415394313,0.000000000
1686597913.506151,1686597913.505650520,0.000000000,0.235645814,0.000000000,0.000000000,-9.415394313,0.000000000
1686597913.507979,1686597913.507679701,0.000000000,0.235645814,0.000000000,0.000000000,-9.415394313,0.000000000
1686597913.510416,1686597913.509678364,0.000000000,0.235645814,0.000000000,0.000000000,-9.415394313,0.000000000
1686597913.512207,1686597913.511676073,0.000000000,0.235645814,0.000000000,0.000000000,-9.415394313,0.000000000
1686597913.514274,1686597913.513716936,0.000000000,0.235645814,0.000000000,0.000000000,-9.415394313,0.000000000
1686597913.516113,1686597913.515798569,0.000000000,0.235645814,0.000000000,0.000000000,-9.415394313,0.000000000
1686597913.517947,1686597913.517668009,0.000000000,0.235645814,0.000000000,0.000000000,-9.415394313,0.000000000
1686597913.520324,1686597913.519676924,0.000000000,0.235645814,0.000000000,0.000000000,-9.415394313,0.000000000
1686597913.522103,1686597913.521680117,0.000000000,0.235645814,0.000000000,0.000000000,-9.415394313,0.000000000
1686597913.523880,1686597913.523651123,0.000000000,0.235645814,0.000000000,0.000000000,-9.415394313,0.000000000
1686597913.526358,1686597913.525717020,0.000000000,0.235645814,0.000000000,0.000000000,-9.415394313,0.000000000
1686597913.528205,1686597913.527669907,0.000000000,0.235645814,0.000000000,0.000000000,-9.415394313,0.000000000
1686597913.529989,1686597913.529796600,0.000000000,0.235645814,0.000000000,0.000000000,-9.414531448,0.287621421
1686597913.532372,1686597913.531796932,0.000000000,0.235645814,0.000000000,0.000000000,-9.414171922,0.191747622
1686597913.534208,1686597913.533674717,0.000000000,0.235645814,0.000000000,0.000000000,-9.414112001,0.095873817
1686597913.536289,1686597913.535672665,0.000000000,0.235645814,0.000000000,0.000000000,-9.414231843,0.000000000
1686597913.538128,1686597913.537674189,0.000000000,0.235645814,0.000000000,0.000000000,-9.414040095,0.000000000
1686597913.539966,1686597913.539706945,0.000000000,0.235645814,0.000000000,0.000000000,-9.413836363,0.095873805
1686597913.542390,1686597913.541797876,0.000000000,0.235645814,0.000000000,0.000000000,-9.413644616,0.095873805
1686597913.544253,1686597913.543703079,0.000000000,0.235645814,0.000000000,0.000000000,-9.413452868,0.095873805
1686597913.546046,1686597913.545717001,0.000000000,0.235645814,0.000000000,0.000000000,-9.413464852,0.095873805
1686597913.548420,1686597913.547799110,0.000000000,0.235645814,0.000000000,0.000000000,-9.413189215,0.095873805
1686597913.550247,1686597913.549786091,0.000000000,0.235645814,0.000000000,0.000000000,-9.412997468,0.095873805
1686597913.552080,1686597913.551667213,0.000000000,0.235645814,0.000000000,0.000000000,-9.412817704,0.095873805
1686597913.553914,1686597913.553676128,0.000000000,0.235645814,0.000000000,0.000000000,-9.412625957,0.095873805
1686597913.556351,1686597913.555675030,0.000000000,0.235645814,0.000000000,0.000000000,-9.412434209,0.095873805
1686597913.558182,1686597913.557675600,0.000000000,0.235645814,0.000000000,0.000000000,-9.412242462,0.095873805
1686597913.560009,1686597913.559718847,0.000000000,0.235645814,0.000000000,0.000000000,-9.412050714,0.095873805
1686597913.562411,1686597913.561693907,0.000000000,0.235645814,0.000000000,0.000000000,-9.411199834,0.287621421
1686597913.564247,1686597913.563678026,0.000000000,0.235645814,0.000000000,0.000000000,-9.411139913,0.095873817
1686597913.566081,1686597913.565722227,0.000000000,0.235645814,0.000000000,0.000000000,-9.410684512,0.191747622
1686597913.567845,1686597913.567668915,0.000000000,0.235645814,0.000000000,0.000000000,-9.410324986,0.191747622
1686597913.570261,1686597913.569701195,0.000000000,0.235645814,0.000000000,0.000000000,-9.410253080,0.095873817
1686597913.572101,1686597913.571652412,0.000000000,0.235645814,0.000000000,0.000000000,-9.410396891,0.000000000
1686597913.573927,1686597913.573704243,0.000000000,0.235645814,0.000000000,0.000000000,-9.410025380,0.095873805
1686597913.576347,1686597913.575702429,0.000000000,0.235645814,0.000000000,0.000000000,-9.409833632,0.095873805
1686597913.578118,1686597913.577686310,0.000000000,0.235645814,0.000000000,0.000000000,-9.409462121,0.095873805
1686597913.580448,1686597913.579707146,0.000000000,0.235645814,0.000000000,0.000000000,-9.409054658,0.191747610
1686597913.582227,1686597913.581703186,0.000000000,0.235645814,0.000000000,0.000000000,-9.408862910,0.191747610
1686597913.584059,1686597913.583671331,0.000000000,0.235645814,0.000000000,0.000000000,-9.408371557,0.191747610
1686597913.585872,1686597913.585703611,0.000000000,0.235645814,0.000000000,0.000000000,-9.407760361,0.191747610
1686597913.588316,1686597913.587707520,0.000000000,0.235645814,0.000000000,0.000000000,-9.407185119,0.287621421
1686597913.590124,1686597913.589668989,0.000000000,0.235645814,0.000000000,0.000000000,-9.407257024,0.095873817
1686597913.591943,1686597913.591709375,0.000000000,0.235645814,0.000000000,0.000000000,-9.406729718,0.191747622
1686597913.594382,1686597913.593677044,0.000000000,0.235645814,0.000000000,0.000000000,-9.406561939,0.191747622
1686597913.596137,1686597913.595660210,0.000000000,0.235645814,0.000000000,0.000000000,-9.406082570,0.191747622
1686597913.597951,1686597913.597704887,0.000000000,0.235645814,0.000000000,0.000000000,-9.405459390,0.191747622
1686597913.600314,1686597913.599672794,0.000000000,0.235645814,0.000000000,0.000000000,-9.404920100,0.287621421
1686597913.602146,1686597913.601675510,0.000000000,0.235645814,0.000000000,0.000000000,-9.404368826,0.287621421
1686597913.603990,1686597913.603711128,0.000000000,0.235645814,0.000000000,0.000000000,-9.404248984,0.191747622
1686597913.605823,1686597913.605672598,0.000000000,0.235645814,0.000000000,0.000000000,-9.403733662,0.191747622
1686597913.608255,1686597913.607676506,0.000000000,0.235645814,0.000000000,0.000000000,-9.403158419,0.191747622
1686597913.610076,1686597913.609706879,0.000000000,0.235645814,0.000000000,0.000000000,-9.402547224,0.287621421
1686597913.611860,1686597913.611664534,0.000000000,0.235645814,0.000000000,0.000000000,-9.402031902,0.287621421
1686597913.614290,1686597913.613700867,0.000000000,0.235645814,0.000000000,0.000000000,-9.401073164,0.383495220
1686597913.616118,1686597913.615671635,0.000000000,0.235645814,0.000000000,0.000000000,-9.400989274,0.191747622
1686597913.617941,1686597913.617664099,0.000000000,0.235645814,0.000000000,0.000000000,-9.400605779,0.191747622
1686597913.620296,1686597913.619662523,0.000000000,0.235645814,0.000000000,0.000000000,-9.399587120,0.383495220
1686597913.622086,1686597913.621663094,0.000000000,0.235645814,0.000000000,0.000000000,-9.399167672,0.287621421
1686597913.623826,1686597913.623675823,0.000000000,0.235645814,0.000000000,0.000000000,-9.398328776,0.383495220
1686597913.626255,1686597913.625671148,0.000000000,0.235645814,0.000000000,0.000000000,-9.397861392,0.191747622
1686597913.628047,1686597913.627596378,0.000000000,0.235645814,0.000000000,0.000000000,-9.397286149,0.287621421
1686597913.629877,1686597913.629664421,0.000000000,0.235645814,0.000000000,0.000000000,-9.396734874,0.287621421
1686597913.632276,1686597913.631662369,0.000000000,0.235645814,0.000000000,0.000000000,-9.395848042,0.383495220
