__time,/joint_states/header/stamp,/joint_states/joint0/effort,/joint_states/joint0/position,/joint_states/joint0/velocity,/joint_states/joint1/effort,/joint_states/joint1/position,/joint_states/joint1/velocity
1707681595.548029,1707681595.547459602,0.000000000,-0.453243948,0.000000000,0.000000000,3.146913649,0.000000000
1707681595.549840,1707681595.549459696,0.000000000,-0.453243948,0.000000000,0.000000000,3.146913649,0.000000000
1707681595.551700,1707681595.551490068,0.000000000,-0.453243948,0.000000000,0.000000000,3.146913649,0.000000000
1707681595.554117,1707681595.553482771,0.000000000,-0.453243948,0.000000000,0.000000000,3.146913649,0.000000000
1707681595.555935,1707681595.555460930,0.000000000,-0.453243948,0.000000000,0.000000000,3.146913649,0.000000000
1707681595.557739,1707681595.557453156,0.000000000,-0.453243948,0.000000000,0.000000000,3.146913649,0.000000000
1707681595.559601,1707681595.559467793,0.000000000,-0.453243948,0.000000000,0.000000000,3.146913649,0.000000000
1707681595.562018,1707681595.561460495,0.000000000,-0.453243948,0.000000000,0.000000000,3.146913649,0.000000000
1707681595.563842,1707681595.563463688,0.000000000,-0.453243948,0.000000000,0.000000000,3.146913649,0.000000000
1707681595.565680,1707681595.565460682,0.000000000,-0.453243948,0.000000000,0.000000000,3.146913649,0.000000000
1707681595.567952,1707681595.567468643,0.000000000,-0.453243948,0.000000000,0.000000000,3.146913649,0.000000000
1707681595.569693,1707681595.569470167,0.000000000,-0.453243948,0.000000000,0.000000000,3.146913649,0.000000000
1707681595.571979,1707681595.571464777,0.000000000,-0.453243948,0.000000000,0.000000000,3.146913649,0.000000000
1707681595.574196,1707681595.573519945,0.000000000,-0.453243948,0.000000000,0.000000000,3.146913649,0.000000000
1707681595.575876,1707681595.575463772,0.000000000,-0.453243948,0.000000000,0.000000000,3.146913649,0.000000000
1707681595.578159,1707681595.577458620,0.000000000,-0.453243948,0.000000000,0.000000000,3.146913649,0.000000000
1707681595.579834,1707681595.579470634,0.000000000,-0.453243948,0.000000000,0.000000000,3.146913649,0.000000000
1707681595.582156,1707681595.581472397,0.000000000,-0.453243948,0.000000000,0.000000000,3.146913649,0.000000000
1707681595.583986,1707681595.583474159,0.000000000,-0.453243948,0.000000000,0.000000000,3.146913649,0.000000000
1707681595.585771,1707681595.585477591,0.000000000,-0.453243948,0.000000000,0.000000000,3.146913649,0.000000000
1707681595.588202,1707681595.587474823,0.000000000,-0.453243948,0.000000000,0.000000000,3.146913649,0.000000000
1707681595.590028,1707681595.589460373,0.000000000,-0.453243948,0.000000000,0.000000000,3.146913649,0.000000000
1707681595.591735,1707681595.591495037,0.000000000,-0.453243948,0.000000000,0.000000000,3.146913649,0.000000000
1707681595.594024,1707681595.593460560,0.000000000,-0.453243948,0.000000000,0.000000000,3.146913649,0.000000000
1707681595.595755,1707681595.595489025,0.000000000,-0.453243948,0.000000000,0.000000000,3.146913649,0.000000000
1707681595.598199,1707681595.597459555,0.000000000,-0.453243948,0.000000000,0.000000000,3.146913649,0.000000000
1707681595.599976,1707681595.599464655,0.000000000,-0.453243948,0.000000000,0.000000000,3.146913649,0.000000000
1707681595.601832,1707681595.601462126,0.000000000,-0.453243948,0.000000000,0.000000000,3.146913649,0.000000000
1707681595.603668,1707681595.603513718,0.000000000,-0.453243948,0.000000000,0.000000000,3.146913649,0.000000000
1707681595.606107,1707681595.605462313,0.000000000,-0.453243948,0.000000000,0.000000000,3.146913649,0.000000000
1707681595.607903,1707681595.607461691,0.000000000,-0.453243948,0.000000000,0.000000000,3.146913649,0.000000000
1707681595.610167,1707681595.609615326,0.000000000,-0.453243948,0.000000000,0.000000000,3.146913649,0.000000000
1707681595.611835,1707681595.611495972,0.000000000,-0.453243948,0.000000000,0.000000000,3.146913649,0.000000000
1707681595.614066,1707681595.613458157,0.000000000,-0.453243948,0.000000000,0.000000000,3.146913649,0.000000000
1707681595.615784,1707681595.615458965,0.000000000,-0.453243948,0.000000000,0.000000000,3.146913649,0.000000000
1707681595.618002,1707681595.617336273,0.000000000,-0.453243948,0.000000000,0.000000000,3.146913649,0.000000000
1707681595.619692,1707681595.619520903,0.000000000,-0.453243948,0.000000000,0.000000000,3.146913649,0.000000000
1707681595.621912,1707681595.621533394,0.000000000,-0.453243948,0.000000000,0.000000000,3.146913649,0.000000000
1707681595.623594,1707681595.623462915,0.000000000,-0.453243948,0.000000000,0.000000000,3.146913649,0.000000000
1707681595.625857,1707681595.625519276,0.000000000,-0.453243948,0.000000000,0.000000000,3.146913649,0.000000000
1707681595.628106,1707681595.627477646,0.000000000,-0.453243948,0.000000000,0.000000000,3.146913649,0.000000000
1707681595.629813,1707681595.629464388,0.000000000,-0.453243948,0.000000000,0.000000000,3.146913649,0.000000000
1707681595.632016,1707681595.631474018,0.000000000,-0.453243948,0.000000000,0.000000000,3.146913649,0.000000000
1707681595.633689,1707681595.633458138,0.000000000,-0.453243948,0.000000000,0.000000000,3.146913649,0.000000000
1707681595.635927,1707681595.635464191,0.000000000,-0.453243948,0.000000000,0.000000000,3.146913649,0.000000000
1707681595.637614,1707681595.637458086,0.000000000,-0.453243948,0.000000000,0.000000000,3.146913649,0.000000000
1707681595.639834,1707681595.639463902,0.000000000,-0.453243948,0.000000000,0.000000000,3.146913649,0.000000000
1707681595.642101,1707681595.641499281,0.000000000,-0.453243948,0.000000000,0.000000000,3.146913649,0.000000000
1707681595.643819,1707681595.643477917,0.000000000,-0.453243948,0.000000000,0.000000000,3.146913649,0.000000000
1707681595.645654,1707681595.645509243,0.000000000,-0.453243948,0.000000000,0.000000000,3.146913649,0.000000000
