__time,/dynamic_joint_states/header/stamp,/dynamic_joint_states/interface_values.1/values.0,/dynamic_joint_states/interface_values.1/values.1,/dynamic_joint_states/interface_values.1/values.7,/dynamic_joint_states/interface_values.2/values.0,/dynamic_joint_states/interface_values.2/values.1,/dynamic_joint_states/interface_values.2/values.7,/effort_control/data.0,/effort_control/layout/data_offset,/joint_states/header/stamp,/joint_states/joint0/effort,/joint_states/joint0/position,/joint_states/joint0/velocity,/joint_states/joint1/effort,/joint_states/joint1/position,/joint_states/joint1/velocity,/parameter_events/new_parameters.0/value/bool_value,/parameter_events/new_parameters.0/value/double_value,/parameter_events/new_parameters.0/value/integer_value,/parameter_events/new_parameters.0/value/type,/parameter_events/stamp/nanosec,/parameter_events/stamp/sec,/tf/arm1/arm2/header/stamp,/tf/arm1/arm2/rotation/w,/tf/arm1/arm2/rotation/x,/tf/arm1/arm2/rotation/y,/tf/arm1/arm2/rotation/z,/tf/arm1/arm2/translation/x,/tf/arm1/arm2/translation/y,/tf/arm1/arm2/translation/z,/tf/base_link/arm1/header/stamp,/tf/base_link/arm1/rotation/w,/tf/base_link/arm1/rotation/x,/tf/base_link/arm1/rotation/y,/tf/base_link/arm1/rotation/z,/tf/base_link/arm1/translation/x,/tf/base_link/arm1/translation/y,/tf/base_link/arm1/translation/z
1699470926.861743,1699470926.861301422,0.000000000,0.000000000,142.130210927,0.000000000,0.000000000,0.036240284,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1699470926.861981,,,,,,,,,,1699470926.861301422,0.000000000,142.130210927,0.000000000,0.000000000,0.036240284,0.000000000,,,,,,,,,,,,,,,,,,,,,,
1699470926.863530,1699470926.863234758,0.000000000,0.000000000,142.130210927,0.000000000,0.000000000,0.036240284,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1699470926.863670,,,,,,,,,,1699470926.863234758,0.000000000,142.130210927,0.000000000,0.000000000,0.036240284,0.000000000,,,,,,,,,,,,,,,,,,,,,,
1699470926.865937,1699470926.865342617,0.000000000,0.000000000,142.130210927,0.000000000,0.000000000,0.036240284,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1699470926.865969,,,,,,,,,,1699470926.865342617,0.000000000,142.130210927,0.000000000,0.000000000,0.036240284,0.000000000,,,,,,,,,,,,,,,,,,,,,,
1699470926.867726,1699470926.867359400,0.000000000,0.000000000,142.130210927,0.000000000,0.000000000,0.036240284,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1699470926.867761,,,,,,,,,,1699470926.867359400,0.000000000,142.130210927,0.000000000,0.000000000,0.036240284,0.000000000,,,,,,,,,,,,,,,,,,,,,,
1699470926.869778,1699470926.869324684,0.000000000,0.000000000,142.130210927,0.000000000,0.000000000,0.036240284,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1699470926.869918,,,,,,,,,,1699470926.869324684,0.000000000,142.130210927,0.000000000,0.000000000,0.036240284,0.000000000,,,,,,,,,,,,,,,,,,,,,,
1699470926.871517,1699470926.871304989,0.000000000,0.000000000,142.130210927,0.000000000,0.000000000,0.036240284,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1699470926.871647,,,,,,,,,,1699470926.871304989,0.000000000,142.130210927,0.000000000,0.000000000,0.036240284,0.000000000,,,,,,,,,,,,,,,,,,,,,,
1699470926.873888,1699470926.873305082,0.000000000,0.000000000,142.130210927,0.000000000,0.000000000,0.036240284,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1699470926.873991,,,,,,,,,,1699470926.873305082,0.000000000,142.130210927,0.000000000,0.000000000,0.036240284,0.000000000,,,,,,,,,,,,,,,,,,,,,,
1699470926.874101,,,,,,,,,,,,,,,,,,,,,,,1699470926.873305082,-0.018119151,0.999835835,0.000000000,0.000000000,0.093525000,0.000000000,0.000000000,1699470926.873305082,-0.370243149,0.000000000,0.000000000,0.928934880,0.000000000,0.000000000,0.199000000
1699470926.875672,1699470926.875362635,0.000000000,0.000000000,142.130210927,0.000000000,0.000000000,0.036240284,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1699470926.875704,,,,,,,,,,1699470926.875362635,0.000000000,142.130210927,0.000000000,0.000000000,0.036240284,0.000000000,,,,,,,,,,,,,,,,,,,,,,
1699470926.877447,1699470926.877306700,0.000000000,0.000000000,142.130210927,0.000000000,0.000000000,0.036240284,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1699470926.877919,,,,,,,,,,1699470926.877306700,0.000000000,142.130210927,0.000000000,0.000000000,0.036240284,0.000000000,,,,,,,,,,,,,,,,,,,,,,
1699470926.879650,,,,,,,,,,1699470926.879371643,0.000000000,142.130210927,0.000000000,0.000000000,0.036240284,0.000000000,,,,,,,,,,,,,,,,,,,,,,
1699470926.879842,1699470926.879371643,0.000000000,0.000000000,142.130210927,0.000000000,0.000000000,0.036240284,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1699470926.881683,1699470926.881312132,0.000000000,0.000000000,142.130210927,0.000000000,0.000000000,0.036240284,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1699470926.881880,,,,,,,,,,1699470926.881312132,0.000000000,142.130210927,0.000000000,0.000000000,0.036240284,0.000000000,,,,,,,,,,,,,,,,,,,,,,
1699470926.883551,,,,,,,,,,1699470926.883304119,0.000000000,142.130210927,0.000000000,0.000000000,0.036240284,0.000000000,,,,,,,,,,,,,,,,,,,,,,
1699470926.884003,1699470926.883304119,0.000000000,0.000000000,142.130210927,0.000000000,0.000000000,0.036240284,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1699470926.885663,1699470926.885357618,0.000000000,0.000000000,142.130210927,0.000000000,0.000000000,0.036240284,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1699470926.885777,,,,,,,,,,1699470926.885357618,0.000000000,142.130210927,0.000000000,0.000000000,0.036240284,0.000000000,,,,,,,,,,,,,,,,,,,,,,
1699470926.887938,1699470926.887482405,0.000000000,0.000000000,142.130210927,0.000000000,0.000000000,0.036240284,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1699470926.888092,,,,,,,,,,1699470926.887482405,0.000000000,142.130210927,0.000000000,0.000000000,0.036240284,0.000000000,,,,,,,,,,,,,,,,,,,,,,
1699470926.889688,1699470926.889353514,0.000000000,0.000000000,142.130210927,0.000000000,0.000000000,0.036240284,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
