__time,/effort_control/data.0,/effort_control/layout/data_offset,/joint_states/header/stamp,/joint_states/joint0/effort,/joint_states/joint0/position,/joint_states/joint0/velocity,/joint_states/joint1/effort,/joint_states/joint1/position,/joint_states/joint1/velocity
1707670562.524403,,,1707670562.524108410,0.000000000,-0.151912035,0.000000000,0.000000000,-0.024543698,0.000000000
1707670562.526876,,,1707670562.526176453,0.000000000,-0.151912035,0.000000000,0.000000000,-0.024543698,0.000000000
1707670562.528655,,,1707670562.528048277,0.000000000,-0.151912035,0.000000000,0.000000000,-0.024543698,0.000000000
1707670562.531396,,,1707670562.530723810,0.000000000,-0.151912035,0.000000000,0.000000000,-0.024543698,0.000000000
1707670562.532597,,,1707670562.532433271,0.000000000,-0.151912035,0.000000000,0.000000000,-0.024543698,0.000000000
1707670562.534401,,,1707670562.534171581,0.000000000,-0.151912035,0.000000000,0.000000000,-0.024543698,0.000000000
1707670562.536757,,,1707670562.536055088,0.000000000,-0.151912035,0.000000000,0.000000000,-0.024543698,0.000000000
1707670562.538448,,,1707670562.538090706,0.000000000,-0.151912035,0.000000000,0.000000000,-0.024543698,0.000000000
1707670562.540226,,,1707670562.540054321,0.000000000,-0.151912035,0.000000000,0.000000000,-0.024543698,0.000000000
1707670562.543189,,,1707670562.542632341,0.000000000,-0.151912035,0.000000000,0.000000000,-0.024543698,0.000000000
1707670562.545181,,,1707670562.544416428,0.000000000,-0.151912035,0.000000000,0.000000000,-0.024543698,0.000000000
1707670562.547358,,,1707670562.546429157,0.000000000,-0.151912035,0.000000000,0.000000000,-0.024543698,0.000000000
1707670562.549573,,,1707670562.548838139,0.000000000,-0.151912035,0.000000000,0.000000000,-0.024543698,0.000000000
1707670562.551443,,,1707670562.550923586,0.000000000,-0.151912035,0.000000000,0.000000000,-0.024543698,0.000000000
1707670562.553350,,,1707670562.553028107,0.000000000,-0.151912035,0.000000000,0.000000000,-0.024543698,0.000000000
1707670562.555293,,,1707670562.554792643,0.000000000,-0.151912035,0.000000000,0.000000000,-0.024543698,0.000000000
1707670562.558231,,,1707670562.557356596,0.000000000,-0.151912035,0.000000000,0.000000000,-0.024543698,0.000000000
1707670562.559921,,,1707670562.559492111,0.000000000,-0.151912035,0.000000000,0.000000000,-0.024543698,0.000000000
1707670562.561602,,,1707670562.561200380,0.000000000,-0.151912035,0.000000000,0.000000000,-0.024543698,0.000000000
1707670562.563383,,,1707670562.562908411,0.000000000,-0.151912035,0.000000000,0.000000000,-0.024543698,0.000000000
1707670562.565162,,,1707670562.564676523,0.000000000,-0.151912035,0.000000000,0.000000000,-0.024543698,0.000000000
1707670562.566974,,,1707670562.566461802,0.000000000,-0.151912035,0.000000000,0.000000000,-0.024543698,0.000000000
1707670562.568830,,,1707670562.568310022,0.000000000,-0.151912035,0.000000000,0.000000000,-0.024543698,0.000000000
1707670562.570696,,,1707670562.570042133,0.000000000,-0.151912035,0.000000000,0.000000000,-0.024543698,0.000000000
1707670562.572736,,,1707670562.572462320,0.000000000,-0.151912035,0.000000000,0.000000000,-0.024543698,0.000000000
1707670562.574636,,,1707670562.574160576,0.000000000,-0.151912035,0.000000000,0.000000000,-0.024543698,0.000000000
1707670562.576339,,,1707670562.576109648,0.000000000,-0.151912035,0.000000000,0.000000000,-0.024543698,0.000000000
1707670562.578575,,,1707670562.578206778,0.000000000,-0.151912035,0.000000000,0.000000000,-0.024543698,0.000000000
1707670562.580312,,,1707670562.580068111,0.000000000,-0.151912035,0.000000000,0.000000000,-0.024543698,0.000000000
1707670562.582635,,,1707670562.582198858,0.000000000,-0.151912035,0.000000000,0.000000000,-0.024543698,0.000000000
1707670562.584458,,,1707670562.584044218,0.000000000,-0.151912035,0.000000000,0.000000000,-0.024543698,0.000000000
1707670562.586950,,,1707670562.586231709,0.000000000,-0.151912035,0.000000000,0.000000000,-0.024543698,0.000000000
1707670562.588594,,,1707670562.588092089,0.000000000,-0.151912035,0.000000000,0.000000000,-0.024543698,0.000000000
1707670562.590491,,,1707670562.590193272,0.000000000,-0.151912035,0.000000000,0.000000000,-0.024543698,0.000000000
1707670562.592315,,,1707670562.592158556,0.000000000,-0.151912035,0.000000000,0.000000000,-0.024543698,0.000000000
1707670562.594563,,,1707670562.594184160,0.000000000,-0.151912035,0.000000000,0.000000000,-0.024543698,0.000000000
1707670562.596297,,,1707670562.596176147,0.000000000,-0.151912035,0.000000000,0.000000000,-0.024543698,0.000000000
1707670562.598709,,,1707670562.598353863,0.000000000,-0.151912035,0.000000000,0.000000000,-0.024543698,0.000000000
1707670562.600569,,,1707670562.600074291,0.000000000,-0.151912035,0.000000000,0.000000000,-0.024543698,0.000000000
1707670562.603060,,,1707670562.602674007,0.000000000,-0.151912035,0.000000000,0.000000000,-0.024543698,0.000000000
1707670562.604861,,,1707670562.604290962,0.000000000,-0.151912035,0.000000000,0.000000000,-0.024543698,0.000000000
1707670562.606705,,,1707670562.606063604,0.000000000,-0.151912035,0.000000000,0.000000000,-0.024543698,0.000000000
1707670562.610332,,,1707670562.609578609,0.000000000,-0.151912035,0.000000000,0.000000000,-0.024543698,0.000000000
1707670562.612089,,,1707670562.611702442,0.000000000,-0.151912035,0.000000000,0.000000000,-0.024543698,0.000000000
1707670562.613827,,,1707670562.613446474,0.000000000,-0.151912035,0.000000000,0.000000000,-0.024543698,0.000000000
1707670562.615677,,,1707670562.615168095,0.000000000,-0.151912035,0.000000000,0.000000000,-0.024543698,0.000000000
1707670562.617546,,,1707670562.617011309,0.000000000,-0.151912035,0.000000000,0.000000000,-0.024543698,0.000000000
1707670562.619298,,,1707670562.618764162,0.000000000,-0.151912035,0.000000000,0.000000000,-0.024543698,0.000000000
1707670562.621069,,,1707670562.620419264,0.000000000,-0.151912035,0.000000000,0.000000000,-0.024543698,0.000000000
1707670562.622855,,,1707670562.622168779,0.000000000,-0.151912035,0.000000000,0.000000000,-0.024543698,0.000000000
1707670562.624625,,,1707670562.624086857,0.000000000,-0.151912035,0.000000000,0.000000000,-0.024543698,0.000000000
1707670562.626380,,,1707670562.626170635,0.000000000,-0.151912035,0.000000000,0.000000000,-0.024543698,0.000000000
1707670562.628789,,,1707670562.628206491,0.000000000,-0.151912035,0.000000000,0.000000000,-0.024543698,0.000000000
1707670562.630494,,,1707670562.630231619,0.000000000,-0.151912035,0.000000000,0.000000000,-0.024543698,0.000000000
1707670562.632792,,,1707670562.632201910,0.000000000,-0.151912035,0.000000000,0.000000000,-0.024543698,0.000000000
1707670562.634470,,,1707670562.634124041,0.000000000,-0.151912035,0.000000000,0.000000000,-0.024543698,0.000000000
1707670562.636715,,,1707670562.636233091,0.000000000,-0.151912035,0.000000000,0.000000000,-0.024543698,0.000000000
1707670562.638611,,,1707670562.638401031,0.000000000,-0.151912035,0.000000000,0.000000000,-0.024543698,0.000000000
1707670562.640431,,,1707670562.640172720,0.000000000,-0.151912035,0.000000000,0.000000000,-0.024543698,0.000000000
1707670562.642957,,,1707670562.642199278,0.000000000,-0.151912035,0.000000000,0.000000000,-0.024543698,0.000000000
