__time,/effort_control/data.0,/joint_states/header/stamp,/joint_states/joint0/position,/joint_states/joint0/velocity,/joint_states/joint1/position,/joint_states/joint1/velocity
1699809380.45256,,,,,,
1699809380.4546,,1699809380.45419,24.188629983,0.287621445,-6.29488266,-0.191747622
1699809380.45476,,,,,,
1699809380.45636,,1699809380.45619,24.189205226,0.287621445,-6.295266155,-0.191747622
1699809380.45639,,,,,,
1699809380.45868,,,,,,
1699809380.45873,,1699809380.45814,24.189780468,0.287621445,-6.295577745,-0.191747622
1699809380.46038,,,,,,
1699809380.46061,,1699809380.4602,24.190691269,0.383495244,-6.29596124,-0.191747622
1699809380.46077,,,,,,
1699809380.46237,,1699809380.462,24.191086749,0.287621445,-6.296284814,-0.095873817
1699809380.46268,,,,,,
1699809380.46435,,,,,,
1699809380.4646,,1699809380.46419,24.191494213,0.287621445,-6.296692278,-0.191747622
1699809380.46666,,,,,,
1699809380.46687,,1699809380.46619,24.19222525,0.287621445,-6.29735141,-0.287621421
1699809380.46836,,,,,,
1699809380.46854,,1699809380.46803,24.19276454,0.287621445,-6.297663,-0.191747622
1699809380.47061,,,,,,
1699809380.4709,,1699809380.47023,24.19369931,0.383495244,-6.297950621,-0.191747622
1699809380.47225,,,,,,
1699809380.47265,,1699809380.47207,24.194094789,0.287621445,-6.298310148,-0.191747622
1699809380.47456,,,,,,
1699809380.4746,,1699809380.47421,24.194705985,0.287621445,-6.29842999,-0.095873817
1699809380.47683,,,,,,
1699809380.47685,,1699809380.47621,24.194885748,0.191747645,-6.298573801,-0.095873805
1699809380.47852,,,,,,
1699809380.47855,,1699809380.47819,24.195760597,0.383495244,-6.298765549,-0.095873805
1699809380.48023,,,,,,
1699809380.48036,,1699809380.48,24.196443697,0.383495244,-6.29936476,-0.19174761
1699809380.48246,,,,,,
1699809380.48261,,1699809380.4822,24.197006956,0.287621445,-6.299975955,-0.287621421
1699809380.48434,,1699809380.48419,24.197510293,0.287621445,-6.300203656,-0.191747622
1699809380.48472,,,,,,
1699809380.48648,,,,,,
1699809380.48652,,1699809380.4862,24.197606167,0.191747645,-6.300587151,-0.191747622
1699809380.48827,,1699809380.48799,24.198109505,0.191747645,-6.300695009,-0.095873817
1699809380.48831,,,,,,
1699809380.49065,,1699809380.4902,24.199224038,0.383495244,-6.300635088,0
1699809380.49069,,,,,,
1699809380.4932,,,,,,
1699809380.49322,,1699809380.49261,24.199715391,0.287621445,-6.300910725,-0.095873805
1699809380.49496,,,,,,
1699809380.49498,,1699809380.4945,24.200014996,0.191747645,-6.301078504,-0.095873805
1699809380.49685,,,,,,
1699809380.49687,,1699809380.49624,24.20073405,0.287621445,-6.301258267,-0.095873805
1699809380.49877,,,,,,
1699809380.49879,,1699809380.49822,24.200710081,0.09587384,-6.301438031,-0.095873805
1699809380.5006,,,,,,
1699809380.50061,,1699809380.50007,24.201213419,0.191747645,-6.301402078,0
1699809380.503,,,,,,
1699809380.50302,,1699809380.50224,24.201848583,0.287621445,-6.301402078,0
1699809380.5048,,,,,,
1699809380.50482,,1699809380.50411,24.202220094,0.191747645,-6.301402078,0
1699809380.50666,,,,,,
1699809380.50669,,1699809380.50626,24.2029751,0.287621445,-6.301402078,0
1699809380.50852,,1699809380.50824,24.202999068,0.09587384,-6.301402078,0
1699809380.50858,,,,,,
1699809380.51098,,,,,,
1699809380.51101,,1699809380.51021,24.203466453,0.191747645,-6.301402078,0
1699809380.51106,,,,,,
1699809380.51284,,,,,,
1699809380.51288,,1699809380.51209,24.203849948,0.191747645,-6.301402078,0
1699809380.51459,,,,,,
1699809380.51463,,1699809380.51414,24.203885901,0.09587384,-6.301402078,0
1699809380.51631,,,,,,
1699809380.51637,,1699809380.516,24.204041696,0.095873805,-6.301402078,0
1699809380.51862,,,,,,
1699809380.51875,,1699809380.51813,24.204233444,0.095873805,-6.301402078,0
1699809380.52037,,,,,,
1699809380.52055,,1699809380.51999,24.204940513,0.287621421,-6.301402078,0
1699809380.52268,,,,,,
1699809380.52279,,1699809380.52223,24.205335992,0.191747622,-6.301402078,0
1699809380.52443,,,,,,
1699809380.52452,,1699809380.52399,24.205383929,0.095873817,-6.301402078,0
1699809380.52695,,,,,,
1699809380.52697,,1699809380.52622,24.205491787,0.095873805,-6.301402078,0
1699809380.52818,,,,,,
1699809380.5282,,1699809380.528,24.205683535,0.095873805,-6.301402078,0
1699809380.53063,,,,,,
1699809380.53065,,1699809380.53021,24.205887267,0.095873805,-6.301402078,0
1699809380.53247,,,,,,
1699809380.53249,,1699809380.53218,24.20606703,0.095873805,-6.301402078,0
1699809380.53433,,,,,,
1699809380.53435,,1699809380.53403,24.206031077,0,-6.301402078,0
1699809380.53678,,,,,,
1699809380.53683,,1699809380.53607,24.206031077,0,-6.300683025,0.287621421
1699809380.53842,,1699809380.53834,24.206282746,0.095873805,-6.300227624,0.287621421
1699809380.53846,,,,,,
1699809380.54042,,,,,,
1699809380.54046,,1699809380.54012,24.206474494,0.095873805,-6.300143734,0.095873817
1699809380.54284,,,,,,
1699809380.54289,,1699809380.54225,24.206666241,0.095873805,-6.299652381,0.191747622
1699809380.54473,,,,,,
1699809380.54479,,1699809380.5442,24.206857989,0.095873805,-6.299460634,0.191747622
1699809380.54647,,,,,,
1699809380.5465,,1699809380.5462,24.206798068,0,-6.299268886,0.095873817
1699809380.54881,,1699809380.54833,24.206798068,0,-6.299065154,0.095873817
1699809380.54887,,,,,,
1699809380.55055,,,,,,
1699809380.55061,,1699809380.55022,24.206798068,0,-6.298693643,0.095873817
1699809380.55281,,1699809380.55221,24.206798068,0,-6.297938637,0.287621421
1699809380.55289,,,,,,
1699809380.55454,,1699809380.55419,24.206798068,0,-6.2974353,0.287621421
1699809380.55464,,,,,,
1699809380.55638,,,,,,
1699809380.55678,,1699809380.55619,24.206798068,0,-6.297087757,0.191747622
1699809380.55853,,1699809380.55833,24.206798068,0,-6.296776167,0.191747622
1699809380.55875,,,,,,
1699809380.56047,,,,,,
1699809380.56076,,1699809380.56031,24.206798068,0,-6.296392672,0.191747622
1699809380.56093,,,,,,
1699809380.56248,,1699809380.56225,24.206798068,0,-6.296105051,0.095873817
1699809380.56277,,,,,,
1699809380.56419,,1699809380.56407,24.206798068,0,-6.295769492,0.191747622
1699809380.56449,,,,,,
1699809380.56646,,1699809380.56619,24.206989815,0,-6.295362029,0.191747622
1699809380.56679,,,,,,
1699809380.56815,,1699809380.568,24.207169579,0.095873805,-6.295002502,0.191747622
1699809380.56849,,,,,,
1699809380.57052,,1699809380.57024,24.207373311,0.095873805,-6.294247496,0.287621421
1699809380.57081,,,,,,
1699809380.57267,,,,,,
1699809380.57273,,1699809380.57219,24.207565058,0.095873805,-6.293935906,0.191747622
1699809380.57439,,,,,,
1699809380.57451,,1699809380.57411,24.207565058,0.095873805,-6.293576379,0.191747622
1699809380.57676,,1699809380.57624,24.207565058,0,-6.293192884,0.191747622
1699809380.57679,,,,,,
1699809380.57846,,1699809380.5781,24.207565058,0,-6.292881294,0.191747622
1699809380.57849,,,,,,
1699809380.58069,,1699809380.58022,24.207565058,0,-6.291958509,0.38349522
1699809380.58079,,,,,,
1699809380.58269,,,,,,
1699809380.58294,,1699809380.58233,24.207565058,0,-6.291682872,0.191747622
1699809380.58453,,,,,,
1699809380.58466,,1699809380.58421,24.207565058,0,-6.291371282,0.191747622
1699809380.58629,,,,,,
1699809380.58632,,1699809380.58618,24.207565058,0,-6.290987787,0.191747622
1699809380.58863,,1699809380.58812,24.207565058,0,-6.290280717,0.287621421
1699809380.58877,,,,,,
1699809380.59035,,1699809380.59025,24.207565058,0,-6.29023278,0.095873817
1699809380.59061,,,,,,
1699809380.59226,,1699809380.592,24.207565058,0,-6.289729443,0.191747622
1699809380.59241,,,,,,
1699809380.59484,,,,,,
1699809380.59486,,1699809380.5942,24.207565058,0,-6.289130232,0.191747622
1699809380.59664,,1699809380.59619,24.207565058,0,-6.288554989,0.287621421
1699809380.59671,,,,,,
1699809380.5984,,1699809380.5982,24.207565058,0,-6.288039667,0.287621421
1699809380.59857,,,,,,
1699809380.60019,,1699809380.60007,24.207565058,0,-6.287967762,0.191747622
1699809380.60044,,,,,,
1699809380.6026,,1699809380.60223,24.207565058,0,-6.287464424,0.191747622
1699809380.60281,,,,,,
1699809380.60437,,1699809380.60412,24.207565058,0,-6.287080929,0.191747622
1699809380.60454,,,,,,
1699809380.60629,,,,,,
1699809380.60678,,1699809380.60612,24.207565058,0,-6.286769339,0.191747622
1699809380.60862,,,,,,
1699809380.60864,,1699809380.60812,24.207565058,0,-6.286385844,0.191747622
1699809380.61043,,,,,,
1699809380.61045,,1699809380.61019,24.207565058,0,-6.285654807,0.287621421
1699809380.61229,,1699809380.61211,24.207565058,0,-6.285403138,0.191747622
1699809380.61243,,,,,,
1699809380.61287,,,,,,
1699809380.61459,,,,,,
1699809380.61464,,1699809380.61418,24.207565058,0,-6.285019643,0.191747622
1699809380.61648,,1699809380.61621,24.207565058,0,-6.284636147,0.191747622
1699809380.61691,,,,,,
1699809380.61879,,,,,,
1699809380.61893,,1699809380.61834,24.207565058,0,-6.284228684,0.191747622
1699809380.62015,,1699809380.62,24.207565058,0,-6.284108842,0.095873817
1699809380.62065,,,,,,
1699809380.62266,,,,,,
1699809380.62269,,1699809380.62244,24.207565058,0,-6.283485662,0.191747622
1699809380.62442,,,,,,
1699809380.62458,,1699809380.62423,24.207565058,0,-6.282910419,0.287621421
1699809380.62682,,,,,,
1699809380.62694,,1699809380.62626,24.207565058,0,-6.282526924,0.191747622
1699809380.62874,,,,,,
1699809380.6288,,1699809380.62823,24.207565058,0,-6.282179381,0.191747622
1699809380.63059,,,,,,
1699809380.63064,,1699809380.63022,24.207565058,0,-6.281795886,0.191747622
1699809380.63247,,1699809380.63231,24.207565058,0,-6.281412391,0.191747622
1699809380.63301,,,,,,
1699809380.63484,,,,,,
1699809380.63489,,1699809380.63426,24.207565058,0,-6.281028896,0.191747622
1699809380.63667,,,,,,
1699809380.63678,,1699809380.63619,24.207565058,0,-6.280717306,0.191747622
1699809380.6384,,,,,,
1699809380.63856,,1699809380.63806,24.207565058,0,-6.280357779,0.191747622
1699809380.6403,,1699809380.64013,24.207565058,0,-6.27965071,0.287621421
1699809380.64076,,,,,,
1699809380.64287,,1699809380.64241,24.207565058,0,-6.279506899,0.191747622
1699809380.64312,,,,,,
1699809380.64466,,1699809380.64433,24.207565058,0,-6.279003562,0.191747622
1699809380.6448,,,,,,
1699809380.64712,,,,,,
1699809380.64717,,1699809380.64641,24.207565058,0,-6.278620067,0.191747622
1699809380.64886,,,,,,
1699809380.64889,,1699809380.64824,24.207565058,0,-6.278320461,0.191747622
1699809380.65066,,,,,,
1699809380.65069,,1699809380.65023,24.207565058,0,-6.277936966,0.191747622
1699809380.6524,,,,,,
1699809380.65249,,1699809380.65211,24.207565058,0,-6.27763736,0.191747622
1699809380.65483,,,,,,
1699809380.65493,,1699809380.65423,24.207565058,0,-6.277253865,0.191747622
1699809380.65665,,,,,,
1699809380.65673,,1699809380.65621,24.207565058,0,-6.27687037,0.191747622
1699809380.65856,,1699809380.65836,24.207565058,0,-6.276462906,0.191747622
1699809380.65901,,,,,,
1699809380.66047,,1699809380.66021,24.207565058,0,-6.275791789,0.287621421
1699809380.66085,,,,,,
1699809380.66262,,,,,,
1699809380.66286,,1699809380.66222,24.207565058,0,-6.275695916,0.191747622
1699809380.6631,,,,,,
1699809380.66461,,1699809380.66425,24.207565058,0,-6.275276468,0.191747622
1699809380.665,,,,,,
1699809380.6669,,,,,,
1699809380.66697,,1699809380.66622,24.207565058,0,-6.274892973,0.191747622
1699809380.66875,,,,,,
1699809380.66879,,1699809380.66821,24.207565058,0,-6.274809083,0.095873817
1699809380.67051,,1699809380.67023,24.207565058,0,-6.274245824,0.191747622
1699809380.67061,,,,,,
1699809380.67287,,1699809380.67222,24.207565058,0,-6.274102014,0.095873817
1699809380.67295,,,,,,
1699809380.67469,,1699809380.67412,24.207565058,0,-6.273550739,0.191747622
1699809380.67481,,,,,,
1699809380.67648,,1699809380.67619,24.207565058,0,-6.273370976,0.191747622
1699809380.67657,,,,,,
1699809380.67883,,1699809380.67835,24.207565058,0,-6.272783749,0.191747622
1699809380.679,,,,,,
1699809380.68064,,1699809380.68024,24.207565058,0,-6.27261597,0.191747622
1699809380.68092,,,,,,
1699809380.68284,,,,,,
1699809380.68291,,1699809380.68245,24.207565058,0,-6.272172554,0.191747622
1699809380.68471,,,,,,
1699809380.68476,,1699809380.68431,24.207565058,0,-6.271789058,0.191747622
1699809380.68649,,,,,,
1699809380.68653,,1699809380.68623,24.207565058,0,-6.271741121,0.095873817
1699809380.68879,,1699809380.68814,24.207565058,0,-6.271645248,0.095873805
1699809380.68888,,,,,,
1699809380.69056,,1699809380.69022,24.207565058,0,-6.2714535,0.095873805
1699809380.69067,,,,,,
1699809380.69255,,,,,,
1699809380.6929,,1699809380.69219,24.207565058,0,-6.271261752,0.095873805
1699809380.69467,,1699809380.69433,24.207565058,0,-6.270446825,0.287621421
1699809380.695,,,,,,
1699809380.69642,,1699809380.6962,24.207565058,0,-6.270171188,0.191747622
1699809380.69687,,,,,,
1699809380.69877,,,,,,
1699809380.69882,,1699809380.69824,24.207565058,0,-6.269955472,0.095873817
1699809380.70051,,1699809380.70012,24.207565058,0,-6.269571977,0.191747622
1699809380.70064,,,,,,
1699809380.70249,,,,,,
1699809380.70283,,1699809380.70228,24.207565058,0,-6.269464119,0.095873817
1699809380.70461,,1699809380.7042,24.207565058,0,-6.269559992,0
1699809380.70493,,,,,,
1699809380.7064,,1699809380.70614,24.207565058,0,-6.269559992,0
1699809380.70682,,,,,,
1699809380.70868,,,,,,
1699809380.70874,,1699809380.70823,24.207565058,0,-6.269224434,0.095873805
1699809380.7105,,,,,,
1699809380.71056,,1699809380.71019,24.207565058,0,-6.269032687,0.095873805
1699809380.71286,,,,,,
1699809380.71292,,1699809380.71212,24.207565058,0,-6.268840939,0.095873805
1699809380.71462,,1699809380.71434,24.207565058,0,-6.268625223,0.095873805
1699809380.71477,,,,,,
1699809380.71481,,,,,,
1699809380.71698,,1699809380.71654,24.207565058,0,-6.268793002,0
1699809380.7173,,,,,,
1699809380.71879,,1699809380.71836,24.207565058,0,-6.268481412,0.095873805
1699809380.71913,,,,,,
1699809380.72059,,1699809380.72023,24.207565058,0,-6.268301649,0.095873805
1699809380.72095,,,,,,
1699809380.7223,,1699809380.72212,24.207565058,0,-6.268109901,0.095873805
1699809380.72279,,,,,,
1699809380.72462,,,,,,
1699809380.72467,,1699809380.72415,24.207565058,0,-6.267918154,0.095873805
1699809380.72702,,,,,,
1699809380.72706,,1699809380.72628,24.207565058,0,-6.268026012,0
1699809380.72878,,,,,,
1699809380.72882,,1699809380.72814,24.207565058,0,-6.267714422,0.095873805
1699809380.73052,,1699809380.73021,24.207565058,0,-6.267522674,0.095873805
1699809380.73062,,,,,,
1699809380.73242,,,,,,
1699809380.73282,,1699809380.73216,24.207565058,0,-6.267330927,0.095873805
1699809380.73453,,1699809380.73435,24.207565058,0,-6.267127195,0.095873805
1699809380.73482,,,,,,
1699809380.73668,,,,,,
1699809380.73684,,1699809380.73611,24.207565058,0,-6.267259021,0
1699809380.73853,,1699809380.73835,24.207565058,0,-6.267259021,0
1699809380.7386,,,,,,
1699809380.74032,,1699809380.74013,24.207565058,0,-6.267259021,0
1699809380.74042,,,,,,
1699809380.74264,,1699809380.74223,24.207565058,0,-6.266995368,0.095873805
1699809380.74273,,,,,,
1699809380.74464,,1699809380.74413,24.207565058,0,-6.266803621,0.095873805
1699809380.74471,,,,,,
1699809380.74643,,1699809380.74623,24.207565058,0,-6.266611873,0.095873805
1699809380.74694,,,,,,
1699809380.74877,,,,,,
1699809380.74883,,1699809380.74811,24.207565058,0,-6.266420126,0.095873805
1699809380.75055,,1699809380.75024,24.207565058,0,-6.266492031,0
1699809380.75062,,,,,,
1699809380.75229,,1699809380.7521,24.207565058,0,-6.266492031,0
1699809380.75236,,,,,,
1699809380.75462,,1699809380.75414,24.207565058,0,-6.266492031,0
1699809380.75484,,,,,,
1699809380.75635,,1699809380.7561,24.207565058,0,-6.266492031,0
1699809380.7567,,,,,,
1699809380.75855,,,,,,
1699809380.75864,,1699809380.75825,24.207565058,0,-6.266492031,0
1699809380.76041,,1699809380.76011,24.207565058,0,-6.266492031,0
1699809380.76079,,,,,,
1699809380.76264,,,,,,
1699809380.76268,,1699809380.7622,24.207565058,0,-6.266492031,0
1699809380.76434,,1699809380.7641,24.207565058,0,-6.266492031,0
1699809380.76446,,,,,,
1699809380.76664,,1699809380.76623,24.207565058,0,-6.266492031,0
1699809380.76671,,,,,,
1699809380.76683,,,,,,
1699809380.76836,,1699809380.7682,24.207565058,0,-6.266492031,0
1699809380.76849,,,,,,
1699809380.77064,,1699809380.77023,24.207565058,0,-6.266492031,0
1699809380.77085,,,,,,
1699809380.77232,,1699809380.77211,24.207565058,0,-6.266492031,0
1699809380.77265,,,,,,
1699809380.77442,,,,,,
1699809380.77465,,1699809380.77417,24.207565058,0,-6.266492031,0
1699809380.77634,,1699809380.77619,24.207565058,0,-6.266492031,0
1699809380.77682,,,,,,
1699809380.77857,,,,,,
