__time,/effort_control/data.0,/effort_control/layout/data_offset,/joint_states/header/stamp,/joint_states/joint0/effort,/joint_states/joint0/position,/joint_states/joint0/velocity,/joint_states/joint1/effort,/joint_states/joint1/position,/joint_states/joint1/velocity
1707741750.575683,,,1707741750.575348139,0.000000000,327.495718297,0.000000000,0.000000000,0.018455320,0.000000000
1707741750.577919,,,1707741750.577257633,0.000000000,327.495718297,0.000000000,0.000000000,0.018455320,0.000000000
1707741750.579706,,,1707741750.579343081,0.000000000,327.495718297,0.000000000,0.000000000,0.018455320,0.000000000
1707741750.581929,,,1707741750.581335783,0.000000000,327.495718297,0.000000000,0.000000000,0.018455320,0.000000000
1707741750.583660,,,1707741750.583273649,0.000000000,327.495718297,0.000000000,0.000000000,0.018455320,0.000000000
1707741750.585938,,,1707741750.585335732,0.000000000,327.495718297,0.000000000,0.000000000,0.018455320,0.000000000
1707741750.587656,,,1707741750.587336302,0.000000000,327.495718297,0.000000000,0.000000000,0.018455320,0.000000000
1707741750.589930,,,1707741750.589220524,0.000000000,327.495718297,0.000000000,0.000000000,0.018455320,0.000000000
1707741750.591607,,,1707741750.591292381,0.000000000,327.495718297,0.000000000,0.000000000,0.018455320,0.000000000
1707741750.593832,,,1707741750.593383551,0.000000000,327.495718297,0.000000000,0.000000000,0.018455320,0.000000000
1707741750.595599,,,1707741750.595354080,0.000000000,327.495718297,0.000000000,0.000000000,0.018455320,0.000000000
1707741750.597840,,,1707741750.597357750,0.000000000,327.495718297,0.000000000,0.000000000,0.018455320,0.000000000
1707741750.599571,,,1707741750.599243402,0.000000000,327.495718297,0.000000000,0.000000000,0.018455320,0.000000000
1707741750.601814,,,1707741750.601397753,0.000000000,327.495718297,0.000000000,0.000000000,0.018455320,0.000000000
1707741750.603553,,,1707741750.603345871,0.000000000,327.495718297,0.000000000,0.000000000,0.018455320,0.000000000
1707741750.605810,,,1707741750.605340481,0.000000000,327.495718297,0.000000000,0.000000000,0.018455320,0.000000000
1707741750.607515,,,1707741750.607296228,0.000000000,327.495718297,0.000000000,0.000000000,0.018455320,0.000000000
1707741750.609725,,,1707741750.609432220,0.000000000,327.495718297,0.000000000,0.000000000,0.018455320,0.000000000
1707741750.611431,,,1707741750.611330509,0.000000000,327.495718297,0.000000000,0.000000000,0.018455320,0.000000000
1707741750.613747,,,1707741750.613343954,0.000000000,327.495718297,0.000000000,0.000000000,0.018455320,0.000000000
1707741750.616000,,,1707741750.615437508,0.000000000,327.495718297,0.000000000,0.000000000,0.018455320,0.000000000
1707741750.617805,,,1707741750.617381334,0.000000000,327.495718297,0.000000000,0.000000000,0.018455320,0.000000000
1707741750.619485,,,1707741750.619249582,0.000000000,327.495718297,0.000000000,0.000000000,0.018455320,0.000000000
1707741750.621751,,,1707741750.621380091,0.000000000,327.495718297,0.000000000,0.000000000,0.018455320,0.000000000
1707741750.623516,,,1707741750.623248339,0.000000000,327.495718297,0.000000000,0.000000000,0.018455320,0.000000000
1707741750.625710,,,1707741750.625348330,0.000000000,327.495718297,0.000000000,0.000000000,0.018455320,0.000000000
1707741750.627593,,,1707741750.627248287,0.000000000,327.495718297,0.000000000,0.000000000,0.018455320,0.000000000
1707741750.629943,,,1707741750.629346848,0.000000000,327.495718297,0.000000000,0.000000000,0.018455320,0.000000000
1707741750.631591,,,1707741750.631350279,0.000000000,327.495718297,0.000000000,0.000000000,0.018455320,0.000000000
1707741750.633871,,,1707741750.633333921,0.000000000,327.495718297,0.000000000,0.000000000,0.018455320,0.000000000
1707741750.635578,,,1707741750.635346174,0.000000000,327.495718297,0.000000000,0.000000000,0.018455320,0.000000000
1707741750.637866,,,1707741750.637344122,0.000000000,327.495718297,0.000000000,0.000000000,0.018455320,0.000000000
1707741750.639608,,,1707741750.639247894,0.000000000,327.495718297,0.000000000,0.000000000,0.018455320,0.000000000
1707741750.640731,0.050264160,0.000000000,,,,,,,
1707741750.641874,,,1707741750.641258955,0.000000000,327.495718297,0.000000000,0.000000000,0.018455320,0.000000000
1707741750.642696,0.100520382,0.000000000,,,,,,,
1707741750.643577,,,1707741750.643244982,0.000000000,327.495718297,0.000000000,0.000000000,0.018455320,0.000000000
1707741750.644727,0.150760731,0.000000000,,,,,,,
1707741750.645748,,,1707741750.645376921,0.000000000,327.495718297,0.000000000,0.000000000,0.018455320,0.000000000
1707741750.646656,0.200977273,0.000000000,,,,,,,
1707741750.648101,,,1707741750.647430420,0.000000000,327.495718297,0.000000000,0.000000000,0.018455320,0.000000000
1707741750.648738,0.251162078,0.000000000,,,,,,,
1707741750.649733,,,1707741750.649335384,0.000000000,327.495718297,0.000000000,0.000000000,0.018455320,0.000000000
1707741750.650706,0.301307222,0.000000000,,,,,,,
1707741750.652006,,,1707741750.651356220,0.000000000,327.495718297,0.000000000,0.000000000,0.018455320,0.000000000
1707741750.652739,0.351404786,0.000000000,,,,,,,
1707741750.653739,,,1707741750.653334618,0.000000000,327.495718297,0.000000000,0.000000000,0.018455320,0.000000000
1707741750.654714,0.401446859,0.000000000,,,,,,,
1707741750.656002,,,1707741750.655348301,0.000000000,327.495718297,0.000000000,0.000000000,0.018403638,-0.005992113
1707741750.656780,0.451425539,0.000000000,,,,,,,
1707741750.657685,,,1707741750.657339096,0.000000000,327.496341477,0.005992113,0.000000000,0.018391654,-0.005992113
1707741750.658741,0.501332934,0.000000000,,,,,,,
1707741750.659947,,,1707741750.659347296,0.000000000,327.497276247,0.095873805,0.000000000,0.017640393,-0.077897468
1707741750.660739,0.551161163,0.000000000,,,,,,,
